epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2975,2.56661,5.62901,1.6621,0.06629,0.01998,0.03698,0.02354,1.93103,4.457,1.16595,2.61e-05,2.61e-05,2.61e-05
2,122.099,1.83879,3.90695,1.28529,0.5737,0.25023,0.30908,0.17682,1.69526,3.04285,1.08879,5.54303e-05,5.54303e-05,5.54303e-05
3,165.506,1.58361,1.91085,1.10486,0.54086,0.37512,0.39436,0.23073,1.5688,5.97005,1.08978,8.35548e-05,8.35548e-05,8.35548e-05
4,212.45,1.34427,1.28228,1.00837,0.60291,0.41053,0.42469,0.27214,1.40483,3.51455,1.047,0.000110473,0.000110473,0.000110473
5,257.64,1.33438,1.03,1.045,0.81435,0.47226,0.52263,0.3439,1.28959,1.82555,0.99661,0.000136186,0.000136186,0.000136186
6,304.476,1.26074,0.88386,1.02062,0.81736,0.49012,0.5969,0.4028,1.2725,1.19043,0.98388,0.000160693,0.000160693,0.000160693
7,366.078,1.18839,0.7855,0.983,0.89202,0.53457,0.65057,0.4548,1.20281,0.87337,0.96758,0.000183995,0.000183995,0.000183995
8,427.964,1.17611,0.71981,0.95796,0.89571,0.34007,0.48754,0.3563,1.24657,0.84756,0.98021,0.00020609,0.00020609,0.00020609
9,517.521,1.14284,0.71903,0.9474,0.91301,0.35011,0.48569,0.35633,1.17632,0.74281,0.95573,0.00022698,0.00022698,0.00022698
10,578.765,1.15134,0.69644,0.98144,0.88805,0.34884,0.49561,0.36683,1.16055,0.69484,0.94439,0.000246663,0.000246663,0.000246663
11,640.752,1.156,0.69933,0.94218,0.89529,0.39148,0.5134,0.36096,1.27126,0.78549,0.97359,0.000265141,0.000265141,0.000265141
12,721.417,1.12013,0.66071,0.9444,0.93442,0.36967,0.45783,0.33365,1.18708,0.63237,0.95946,0.000282413,0.000282413,0.000282413
13,786.11,1.08809,0.62396,0.95245,0.91155,0.37019,0.44971,0.32975,1.14152,0.61845,0.94474,0.00029848,0.00029848,0.00029848
14,836.181,1.10763,0.63817,0.95249,0.97115,0.37019,0.43817,0.32329,1.17475,0.6382,0.94845,0.00031334,0.00031334,0.00031334
15,893.344,1.09657,0.59109,0.92228,0.95634,0.2835,0.36791,0.27403,1.19638,0.6388,0.95308,0.000314418,0.000314418,0.000314418
16,950.169,1.10532,0.62737,0.93645,0.97206,0.28246,0.3588,0.26775,1.13719,0.58382,0.93603,0.000305805,0.000305805,0.000305805
17,1009.74,1.08486,0.59297,0.93725,0.95593,0.37071,0.42528,0.31084,1.13332,0.57973,0.93267,0.000297192,0.000297192,0.000297192
18,1071.96,1.04808,0.57147,0.91436,0.97999,0.37071,0.42827,0.31438,1.14385,0.57114,0.93783,0.000288579,0.000288579,0.000288579
19,1125.78,1.03805,0.56575,0.91344,0.97145,0.28052,0.3566,0.26426,1.12612,0.56967,0.93546,0.000279966,0.000279966,0.000279966
20,1214.02,1.0542,0.55663,0.92904,0.95401,0.28246,0.35513,0.26654,1.10003,0.54933,0.92841,0.000271353,0.000271353,0.000271353
21,1280.46,1.02079,0.52362,0.91619,0.95553,0.2263,0.29612,0.23178,1.10155,0.53982,0.92878,0.00026274,0.00026274,0.00026274
